Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
12,24,7,0,,,,108.1,0,0,17.0,0.0
1,1,1,0,,,,220.1,0,0,28.0,0.0
1,2,1,0,,,,222.8,0,0,31.0,0.0
1,3,1,0,,,,220.5,0,0,31.0,0.0
1,4,1,0,,,,228.1,0,0,31.0,0.0
1,5,1,0,,,,226.4,0,0,29.0,0.0
1,6,1,0,,,,227.1,0,0,34.0,0.0
1,7,1,0,,,,236.2,0,0,35.0,0.0
1,8,1,0,,,,239.3,0,0,36.0,2.0
1,9,1,0,,,,251.9,0,0,31.0,46.0
1,10,1,0,,,,243.3,0,0,34.0,138.0
1,11,1,0,,,,239.1,0,0,33.0,133.0
1,12,1,0,,,,243.4,0,0,33.0,83.0
1,13,1,0,,,,241.8,0,0,28.0,47.0
1,14,1,0,,,,238.2,0,0,35.0,17.0
1,15,1,0,,,,245.2,0,0,32.0,0.0
1,16,1,0,,,,242.3,0,0,34.0,0.0
1,17,1,0,,,,236.7,0,0,34.0,0.0
1,18,1,0,,,,228.0,0,0,31.0,0.0
1,19,1,0,,,,223.1,0,0,33.0,0.0
1,20,1,0,,,,220.7,0,0,35.0,0.0
1,21,1,0,,,,218.5,0,0,34.0,0.0
1,22,1,0,,,,218.5,0,0,32.0,0.0
1,23,1,0,,,,221.4,0,0,38.0,0.0
1,24,1,0,,,,217.1,0,0,35.0,0.0
1,1,2,0,,,,220.0,0,0,38.0,0.0
1,2,2,0,,,,224.5,0,0,38.0,0.0
1,3,2,0,,,,224.9,0,0,39.0,0.0
1,4,2,0,,,,226.8,0,0,39.0,0.0
1,5,2,0,,,,230.0,0,0,44.0,0.0
1,6,2,0,,,,228.6,0,0,41.0,0.0
1,7,2,0,,,,237.9,0,0,45.0,0.0
1,8,2,0,,,,253.1,0,0,46.0,5.0
1,9,2,0,,,,267.9,0,0,47.0,76.0
1,10,2,0,,,,262.2,0,0,46.0,222.0
1,11,2,0,,,,260.7,0,0,46.0,332.0
1,12,2,0,,,,261.2,0,0,41.0,369.0
1,13,2,0,,,,255.9,0,0,42.0,276.0
1,14,2,0,,,,254.0,0,0,39.0,135.0
1,15,2,0,,,,259.6,0,0,41.0,17.0
1,16,2,0,,,,260.4,0,0,43.0,0.0
1,17,2,0,,,,262.7,0,0,48.0,0.0
1,18,2,0,,,,255.8,0,0,46.0,0.0
1,19,2,0,,,,242.7,0,0,45.0,0.0
1,20,2,0,,,,240.5,0,0,46.0,0.0
1,21,2,0,,,,236.2,0,0,44.0,0.0
1,22,2,0,,,,229.2,0,0,45.0,0.0
1,23,2,0,,,,229.6,0,0,44.0,0.0
1,24,2,0,,,,233.2,0,0,43.0,0.0
1,1,3,0,,,,230.7,0,0,41.0,0.0
1,2,3,0,,,,231.8,0,0,39.0,0.0
1,3,3,0,,,,231.1,0,0,40.0,0.0
1,4,3,0,,,,232.2,0,0,36.0,0.0
1,5,3,0,,,,233.2,0,0,41.0,0.0
1,6,3,0,,,,236.4,0,0,41.0,0.0
1,7,3,0,,,,247.9,0,0,41.0,0.0
1,8,3,0,,,,281.7,0,0,40.0,0.0
1,9,3,0,,,,307.9,0,0,50.0,14.0
1,10,3,0,,,,341.8,0,0,41.0,26.0
1,11,3,0,,,,343.6,0,0,39.0,33.0
1,12,3,0,,,,354.0,0,0,48.0,80.0
1,13,3,0,,,,352.6,0,0,47.0,201.0
1,14,3,0,,,,327.0,0,0,46.0,148.0
1,15,3,0,,,,363.0,0,0,46.0,15.0
1,16,3,0,,,,338.2,0,0,48.0,0.0
1,17,3,0,,,,317.8,0,0,51.0,0.0
1,18,3,0,,,,282.0,0,0,49.0,0.0
1,19,3,0,,,,263.6,0,0,45.0,0.0
1,20,3,0,,,,254.6,0,0,45.0,0.0
1,21,3,0,,,,247.5,0,0,44.0,0.0
1,22,3,0,,,,246.1,0,0,45.0,0.0
1,23,3,0,,,,242.7,0,0,46.0,0.0
1,24,3,0,,,,240.7,0,0,41.0,0.0
1,1,4,0,,,,238.5,0,0,47.0,0.0
1,2,4,0,,,,242.5,0,0,44.0,0.0
1,3,4,0,,,,242.1,0,0,44.0,0.0
1,4,4,0,,,,241.4,0,0,45.0,0.0
1,5,4,0,,,,241.6,0,0,44.0,0.0
1,6,4,0,,,,249.2,0,0,49.0,0.0
1,7,4,0,,,,274.1,0,0,48.0,0.0
1,8,4,0,,,,294.7,0,0,56.0,16.0
1,9,4,0,,,,335.3,0,0,56.0,83.0
1,10,4,0,,,,358.5,0,0,51.0,101.0
1,11,4,0,,,,373.0,0,0,51.0,103.0
1,12,4,0,,,,365.1,0,0,48.0,69.0
1,13,4,0,,,,350.0,0,0,46.0,42.0
1,14,4,0,,,,356.1,0,0,46.0,16.0
