Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
12,24,7,0,,,,15.0,0,0,0,0.0
1,1,1,0,,,,70.2,0,0,0,0.0
1,2,1,0,,,,82.9,0,0,0,0.0
1,3,1,0,,,,28.0,0,0,0,0.0
1,4,1,0,,,,69.8,0,0,0,0.0
1,5,1,0,,,,71.0,0,0,0,0.0
1,6,1,0,,,,33.5,0,0,0,0.0
1,7,1,0,,,,72.5,0,0,0,0.0
1,8,1,0,,,,69.8,0,0,0,3.0
1,9,1,0,,,,30.4,0,0,0,39.0
1,10,1,0,,,,68.6,0,0,0,110.0
1,11,1,0,,,,30.4,0,0,0,180.0
1,12,1,0,,,,71.3,0,0,0,184.0
1,13,1,0,,,,32.7,0,0,0,108.0
1,14,1,0,,,,72.1,0,0,0,50.0
1,15,1,0,,,,70.6,0,0,0,10.0
1,16,1,0,,,,31.1,0,0,0,0.0
1,17,1,0,,,,73.7,0,0,0,0.0
1,18,1,0,,,,31.5,0,0,0,0.0
1,19,1,0,,,,74.1,0,0,0,0.0
1,20,1,0,,,,72.1,0,0,0,0.0
1,21,1,0,,,,33.9,0,0,0,0.0
1,22,1,0,,,,72.9,0,0,0,0.0
1,23,1,0,,,,31.1,0,0,0,0.0
1,24,1,0,,,,70.6,0,0,0,0.0
1,1,2,0,,,,69.8,0,0,0,0.0
1,2,2,0,,,,32.7,0,0,0,0.0
1,3,2,0,,,,71.3,0,0,0,0.0
1,4,2,0,,,,32.3,0,0,0,0.0
1,5,2,0,,,,71.3,0,0,0,0.0
1,6,2,0,,,,76.5,0,0,0,0.0
1,7,2,0,,,,38.6,0,0,0,0.0
1,8,2,0,,,,74.1,0,0,0,22.0
1,9,2,0,,,,41.4,0,0,0,157.0
1,10,2,0,,,,90.7,0,0,0,379.0
1,11,2,0,,,,88.7,0,0,0,459.0
1,12,2,0,,,,49.3,0,0,0,401.0
1,13,2,0,,,,89.5,0,0,0,173.0
1,14,2,0,,,,50.8,0,0,0,34.0
1,15,2,0,,,,87.9,0,0,0,2.0
1,16,2,0,,,,91.1,0,0,0,0.0
1,17,2,0,,,,49.7,0,0,0,0.0
1,18,2,0,,,,86.3,0,0,0,0.0
1,19,2,0,,,,41.0,0,0,0,0.0
1,20,2,0,,,,92.0,0,0,0,0.0
1,21,2,0,,,,78.4,0,0,0,0.0
1,22,2,0,,,,38.6,0,0,0,0.0
1,23,2,0,,,,76.1,0,0,0,0.0
1,24,2,0,,,,35.5,0,0,0,0.0
1,1,3,0,,,,62.5,0,0,0,0.0
1,2,3,0,,,,74.9,0,0,0,0.0
1,3,3,0,,,,37.8,0,0,0,0.0
1,4,3,0,,,,77.3,0,0,0,0.0
1,5,3,0,,,,78.4,0,0,0,0.0
1,6,3,0,,,,41.8,0,0,0,0.0
1,7,3,0,,,,82.8,0,0,0,0.0
1,8,3,0,,,,45.3,0,0,0,13.0
1,9,3,0,,,,100.1,0,0,0,123.0
1,10,3,0,,,,104.9,0,0,0,224.0
1,11,3,0,,,,97.8,0,0,0,247.0
1,12,3,0,,,,149.0,0,0,0,178.0
1,13,3,0,,,,156.5,0,0,0,132.0
1,14,3,0,,,,104.9,0,0,0,55.0
1,15,3,0,,,,138.8,0,0,0,8.0
1,16,3,0,,,,91.8,0,0,0,0.0
1,17,3,0,,,,120.4,0,0,0,0.0
1,18,3,0,,,,51.6,0,0,0,0.0
1,19,3,0,,,,83.6,0,0,0,0.0
1,20,3,0,,,,89.1,0,0,0,0.0
1,21,3,0,,,,55.6,0,0,0,0.0
1,22,3,0,,,,94.2,0,0,0,0.0
1,23,3,0,,,,52.8,0,0,0,0.0
1,24,3,0,,,,90.7,0,0,0,0.0
1,1,4,0,,,,91.8,0,0,0,0.0
1,2,4,0,,,,53.2,0,0,0,0.0
1,3,4,0,,,,92.6,0,0,0,0.0
1,4,4,0,,,,52.8,0,0,0,0.0
1,5,4,0,,,,94.2,0,0,0,0.0
1,6,4,0,,,,96.2,0,0,0,0.0
1,7,4,0,,,,56.4,0,0,0,0.0
1,8,4,0,,,,98.5,0,0,0,0.0
1,9,4,0,,,,63.9,0,0,0,20.0
1,10,4,0,,,,127.7,0,0,0,58.0
1,11,4,0,,,,149.0,0,0,0,99.0
1,12,4,0,,,,104.5,0,0,0,146.0
1,13,4,0,,,,147.4,0,0,0,186.0
1,14,4,0,,,,100.5,0,0,0,157.0
1,15,4,0,,,,113.9,0,0,0,37.0
1,16,4,0,,,,106.0,0,0,0,0.0
1,17,4,0,,,,61.5,0,0,0,0.0
1,18,4,0,,,,93.8,0,0,0,0.0
1,19,4,0,,,,52.4,0,0,0,0.0
1,20,4,0,,,,87.9,0,0,0,0.0
1,21,4,0,,,,47.7,0,0,0,0.0
1,22,4,0,,,,88.7,0,0,0,0.0
1,23,4,0,,,,84.4,0,0,0,0.0
1,24,4,0,,,,41.8,0,0,0,0.0
1,1,5,0,,,,74.9,0,0,0,0.0
1,2,5,0,,,,75.7,0,0,0,0.0
1,3,5,0,,,,37.8,0,0,0,0.0
1,4,5,0,,,,76.1,0,0,0,0.0
1,5,5,0,,,,39.0,0,0,0,0.0
1,6,5,0,,,,81.6,0,0,0,0.0
1,7,5,0,,,,81.2,0,0,0,0.0
1,8,5,0,,,,54.8,0,0,0,23.0
1,9,5,0,,,,104.9,0,0,0,145.0
1,10,5,0,,,,69.4,0,0,0,396.0
1,11,5,0,,,,585.2,0,0,0,477.0
1,12,5,0,,,,480.2,0,0,0,461.0
1,13,5,0,,,,453.6,0,0,0,355.0
1,14,5,0,,,,481.4,0,0,0,185.0
1,15,5,0,,,,499.4,0,0,0,30.0
1,16,5,0,,,,514.9,0,0,0,0.0
1,17,5,0,,,,380.4,0,0,0,0.0
1,18,5,0,,,,429.5,0,0,0,0.0
1,19,5,0,,,,439.9,0,0,0,0.0
1,20,5,0,,,,424.4,0,0,0,0.0
1,21,5,0,,,,355.6,0,0,0,0.0
1,22,5,0,,,,438.3,0,0,0,0.0
1,23,5,0,,,,426.8,0,0,0,0.0
1,24,5,0,,,,400.5,0,0,0,0.0
1,1,6,0,,,,374.6,0,0,0,0.0
1,2,6,0,,,,446.7,0,0,0,0.0
1,3,6,0,,,,391.4,0,0,0,0.0
1,4,6,0,,,,367.1,0,0,0,0.0
1,5,6,0,,,,433.6,0,0,0,0.0
1,6,6,0,,,,422.8,0,0,0,0.0
1,7,6,0,,,,333.6,0,0,0,0.0
1,8,6,0,,,,446.6,0,0,0,18.0
1,9,6,0,,,,476.4,0,0,0,171.0
1,10,6,0,,,,435.3,0,0,0,390.0
1,11,6,0,,,,465.5,0,0,0,225.0
1,12,6,0,,,,505.7,0,0,0,73.0
1,13,6,0,,,,441.6,0,0,0,29.0
1,14,6,0,,,,537.3,0,0,0,16.0
1,15,6,0,,,,489.4,0,0,0,1.0
1,16,6,0,,,,399.4,0,0,0,0.0
1,17,6,0,,,,415.9,0,0,0,0.0
1,18,6,0,,,,436.6,0,0,0,0.0
1,19,6,0,,,,355.0,0,0,0,0.0
1,20,6,0,,,,437.0,0,0,0,0.0
1,21,6,0,,,,444.1,0,0,0,0.0
1,22,6,0,,,,351.3,0,0,0,0.0
1,23,6,0,,,,445.8,0,0,0,0.0
1,24,6,0,,,,353.8,0,0,0,0.0
1,1,7,0,,,,414.0,0,0,0,0.0
1,2,7,0,,,,357.9,0,0,0,0.0
1,3,7,0,,,,396.5,0,0,0,0.0
1,4,7,0,,,,383.4,0,0,0,0.0
1,5,7,0,,,,385.8,0,0,0,0.0
1,6,7,0,,,,360.3,0,0,0,0.0
1,7,7,0,,,,412.1,0,0,0,0.0
1,8,7,0,,,,344.0,0,0,0,4.0
1,9,7,0,,,,410.1,0,0,0,56.0
1,10,7,0,,,,334.4,0,0,0,144.0
1,11,7,0,,,,419.5,0,0,0,269.0
1,12,7,0,,,,340.7,0,0,0,254.0
1,13,7,0,,,,418.0,0,0,0,173.0
1,14,7,0,,,,363.8,0,0,0,65.0
1,15,7,0,,,,324.4,0,0,0,7.0
1,16,7,0,,,,439.9,0,0,0,0.0
1,17,7,0,,,,340.7,0,0,0,0.0
1,18,7,0,,,,344.3,0,0,0,0.0
1,19,7,0,,,,423.9,0,0,0,0.0
1,20,7,0,,,,347.8,0,0,0,0.0
1,21,7,0,,,,394.8,0,0,0,0.0
1,22,7,0,,,,380.1,0,0,0,0.0
1,23,7,0,,,,337.9,0,0,0,0.0
1,24,7,0,,,,363.4,0,0,0,0.0
1,1,1,0,,,,403.6,0,0,0,0.0
1,2,1,0,,,,324.4,0,0,0,0.0
1,3,1,0,,,,368.7,0,0,0,0.0
1,4,1,0,,,,381.8,0,0,0,0.0
1,5,1,0,,,,330.5,0,0,0,0.0
1,6,1,0,,,,333.2,0,0,0,0.0
1,7,1,0,,,,411.3,0,0,0,0.0
1,8,1,0,,,,330.9,0,0,0,0.0
1,9,1,0,,,,318.5,0,0,0,10.0
1,10,1,0,,,,410.9,0,0,0,17.0
1,11,1,0,,,,336.8,0,0,0,22.0
1,12,1,0,,,,330.3,0,0,0,21.0
1,13,1,0,,,,390.5,0,0,0,10.0
1,14,1,0,,,,369.3,0,0,0,4.0
1,15,1,0,,,,326.0,0,0,0,0.0
1,16,1,0,,,,335.6,0,0,0,0.0
1,17,1,0,,,,390.5,0,0,0,0.0
1,18,1,0,,,,352.3,0,0,0,0.0
1,19,1,0,,,,339.9,0,0,0,0.0
1,20,1,0,,,,326.4,0,0,0,0.0
1,21,1,0,,,,418.4,0,0,0,0.0
1,22,1,0,,,,341.1,0,0,0,0.0
1,23,1,0,,,,322.8,0,0,0,0.0
1,24,1,0,,,,370.7,0,0,0,0.0
1,1,2,0,,,,369.1,0,0,0,0.0
1,2,2,0,,,,316.1,0,0,0,0.0
1,3,2,0,,,,329.7,0,0,0,0.0
1,4,2,0,,,,407.3,0,0,0,0.0
1,5,2,0,,,,317.3,0,0,0,0.0
1,6,2,0,,,,335.6,0,0,0,0.0
1,7,2,0,,,,413.6,0,0,0,0.0
1,8,2,0,,,,336.8,0,0,0,9.0
1,9,2,0,,,,380.5,0,0,0,67.0
1,10,2,0,,,,452.5,0,0,0,199.0
1,11,2,0,,,,453.6,0,0,0,317.0
1,12,2,0,,,,408.8,0,0,0,314.0
1,13,2,0,,,,456.7,0,0,0,224.0
1,14,2,0,,,,373.0,0,0,0,104.0
1,15,2,0,,,,561.8,0,0,0,14.0
1,16,2,0,,,,442.5,0,0,0,0.0
1,17,2,0,,,,341.4,0,0,0,0.0
1,18,2,0,,,,343.9,0,0,0,0.0
1,19,2,0,,,,418.0,0,0,0,0.0
1,20,2,0,,,,334.0,0,0,0,0.0
1,21,2,0,,,,319.3,0,0,0,0.0
1,22,2,0,,,,411.7,0,0,0,0.0
1,23,2,0,,,,330.9,0,0,0,0.0
1,24,2,0,,,,323.2,0,0,0,0.0
1,1,3,0,,,,431.1,0,0,0,0.0
1,2,3,0,,,,326.0,0,0,0,0.0
1,3,3,0,,,,336.8,0,0,0,0.0
1,4,3,0,,,,422.8,0,0,0,0.0
1,5,3,0,,,,331.6,0,0,0,0.0
1,6,3,0,,,,322.0,0,0,0,0.0
1,7,3,0,,,,428.3,0,0,0,0.0
1,8,3,0,,,,326.8,0,0,0,4.0
1,9,3,0,,,,383.3,0,0,0,33.0
1,10,3,0,,,,463.3,0,0,0,71.0
1,11,3,0,,,,462.1,0,0,0,137.0
1,12,3,0,,,,417.2,0,0,0,129.0
1,13,3,0,,,,408.6,0,0,0,65.0
1,14,3,0,,,,377.2,0,0,0,27.0
1,15,3,0,,,,354.9,0,0,0,4.0
1,16,3,0,,,,335.8,0,0,0,0.0
1,17,3,0,,,,444.5,0,0,0,0.0
1,18,3,0,,,,330.7,0,0,0,0.0
1,19,3,0,,,,345.8,0,0,0,0.0
1,20,3,0,,,,396.4,0,0,0,0.0
1,21,3,0,,,,370.1,0,0,0,0.0
1,22,3,0,,,,343.5,0,0,0,0.0
1,23,3,0,,,,353.8,0,0,0,0.0
1,24,3,0,,,,404.0,0,0,0,0.0
1,1,4,0,,,,322.8,0,0,0,0.0
1,2,4,0,,,,344.8,0,0,0,0.0
1,3,4,0,,,,411.3,0,0,0,0.0
1,4,4,0,,,,318.5,0,0,0,0.0
1,5,4,0,,,,346.4,0,0,0,0.0
1,6,4,0,,,,401.3,0,0,0,0.0
1,7,4,0,,,,322.8,0,0,0,0.0
1,8,4,0,,,,339.9,0,0,0,3.0
1,9,4,0,,,,439.0,0,0,0,20.0
1,10,4,0,,,,339.4,0,0,0,28.0
1,11,4,0,,,,353.3,0,0,0,34.0
1,12,4,0,,,,380.8,0,0,0,31.0
1,13,4,0,,,,420.2,0,0,0,23.0
1,14,4,0,,,,374.2,0,0,0,10.0
1,15,4,0,,,,378.0,0,0,0,0.0
1,16,4,0,,,,445.8,0,0,0,0.0
1,17,4,0,,,,363.3,0,0,0,0.0
1,18,4,0,,,,343.9,0,0,0,0.0
1,19,4,0,,,,340.7,0,0,0,0.0
1,20,4,0,,,,416.4,0,0,0,0.0
1,21,4,0,,,,322.0,0,0,0,0.0
1,22,4,0,,,,321.7,0,0,0,0.0
1,23,4,0,,,,423.6,0,0,0,0.0
1,24,4,0,,,,317.7,0,0,0,0.0
1,1,5,0,,,,316.9,0,0,0,0.0
1,2,5,0,,,,422.0,0,0,0,0.0
1,3,5,0,,,,317.7,0,0,0,0.0
1,4,5,0,,,,317.7,0,0,0,0.0
1,5,5,0,,,,424.4,0,0,0,0.0
1,6,5,0,,,,336.0,0,0,0,0.0
1,7,5,0,,,,351.1,0,0,0,0.0
1,8,5,0,,,,391.7,0,0,0,16.0
1,9,5,0,,,,387.2,0,0,0,85.0
1,10,5,0,,,,547.4,0,0,0,204.0
1,11,5,0,,,,389.7,0,0,0,468.0
1,12,5,0,,,,380.0,0,0,0,473.0
1,13,5,0,,,,351.2,0,0,0,392.0
1,14,5,0,,,,333.0,0,0,0,236.0
1,15,5,0,,,,319.0,0,0,0,51.0
1,16,5,0,,,,308.3,0,0,0,0.0
1,17,5,0,,,,347.3,0,0,0,0.0
