Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10,SB11
0,"(40, 2012)","(0, 2016)","(19, 2014)","(19, 2013)","(102, 2012)","(19, 2013)","(40, 2017)","(8, 2013)","(25, 2017)","(102, 2012)","(58, 2013)","(104, 2016)"
1,"(19, 2012)","(0, 2013)","(19, 2013)","(40, 2013)","(0, 2012)","(8, 2014)","(19, 2016)","(104, 2015)","(4, 2015)","(19, 2014)","(19, 2016)","(19, 2014)"
2,"(0, 2013)","(0, 2013)","(25, 2013)","(40, 2015)","(40, 2015)","(58, 2014)","(104, 2015)","(25, 2012)","(4, 2015)","(25, 2017)","(104, 2016)","(4, 2013)"
3,"(25, 2017)","(25, 2017)","(58, 2017)","(25, 2012)","(25, 2013)","(19, 2017)","(25, 2013)","(25, 2015)","(104, 2012)","(25, 2017)","(19, 2012)","(102, 2013)"
4,"(8, 2015)","(25, 2014)","(8, 2013)","(0, 2014)","(19, 2015)","(8, 2015)","(0, 2015)","(102, 2014)","(40, 2015)","(0, 2016)","(8, 2013)","(102, 2014)"
5,"(4, 2014)","(25, 2015)","(58, 2012)","(104, 2016)","(8, 2012)","(19, 2017)","(0, 2012)","(0, 2017)","(58, 2014)","(0, 2015)","(58, 2014)","(19, 2015)"
6,"(0, 2017)","(104, 2015)","(104, 2016)","(19, 2017)","(104, 2013)","(8, 2017)","(104, 2015)","(25, 2012)","(19, 2012)","(0, 2012)","(25, 2017)","(19, 2017)"
7,"(0, 2012)","(58, 2013)","(40, 2014)","(19, 2012)","(4, 2015)","(104, 2017)","(0, 2013)","(25, 2013)","(58, 2016)","(40, 2012)","(102, 2017)","(104, 2012)"
8,"(19, 2015)","(8, 2017)","(19, 2017)","(58, 2016)","(19, 2012)","(58, 2014)","(40, 2015)","(102, 2015)","(0, 2013)","(104, 2017)","(25, 2015)","(58, 2016)"
9,"(40, 2016)","(19, 2014)","(19, 2014)","(102, 2012)","(102, 2013)","(19, 2017)","(8, 2012)","(19, 2016)","(102, 2012)","(102, 2015)","(40, 2014)","(4, 2017)"
10,"(40, 2013)","(0, 2015)","(104, 2016)","(4, 2015)","(4, 2014)","(0, 2017)","(19, 2013)","(104, 2013)","(104, 2014)","(25, 2013)","(25, 2017)","(0, 2016)"
11,"(8, 2014)","(40, 2016)","(40, 2015)","(40, 2015)","(8, 2013)","(40, 2013)","(102, 2017)","(102, 2017)","(58, 2013)","(4, 2013)","(58, 2014)","(102, 2012)"
12,"(4, 2012)","(0, 2015)","(58, 2012)","(0, 2017)","(25, 2014)","(104, 2013)","(25, 2012)","(19, 2016)","(19, 2012)","(104, 2015)","(104, 2016)","(102, 2016)"
13,"(0, 2012)","(58, 2017)","(25, 2015)","(8, 2016)","(25, 2016)","(58, 2017)","(19, 2014)","(19, 2014)","(102, 2016)","(104, 2013)","(40, 2015)","(0, 2015)"
14,"(19, 2012)","(8, 2015)","(40, 2012)","(8, 2014)","(19, 2016)","(40, 2015)","(102, 2014)","(8, 2013)","(102, 2014)","(4, 2013)","(58, 2016)","(40, 2017)"
15,"(58, 2013)","(58, 2016)","(102, 2013)","(104, 2014)","(104, 2016)","(102, 2012)","(0, 2012)","(104, 2014)","(58, 2017)","(104, 2012)","(104, 2016)","(19, 2016)"
16,"(4, 2013)","(102, 2013)","(58, 2013)","(25, 2012)","(4, 2015)","(40, 2012)","(102, 2016)","(4, 2013)","(19, 2016)","(40, 2017)","(102, 2012)","(19, 2015)"
