Scenario no.,SB0,SB1,SB2,SB3,SB4,BM0,BM1,BM2,BM3,BM4
0,"(40, 2017, 93.8, 290.7)","(0, 2014, 113.9, 384.2)","(19, 2016, 132.7, 390.5)","(19, 2015, 163.5, 256.6)","(102, 2012, 138.3, 211.9)","(40, -1, 97.8, 281.1)","(0, -1, 106.8, 387.5)","(19, -1, 127.2, 417.4)","(19, -1, 170.3, 285.5)","(102, -1, 136.2, 169.8)"
1,"(19, 2015, 137.5, 241.6)","(40, 2014, 146.4, 216.7)","(8, 2015, 121.6, 265.1)","(25, 2016, 93.1, 336.6)","(102, 2015, 130.2, 371.1)","(19, -1, 158.3, 245.9)","(40, -1, 148.8, 248.6)","(8, -1, 119.6, 277.5)","(25, -1, 77.7, 319.1)","(102, -1, 125.0, 350.2)"
2,"(58, 2015, 91.1, 317.4)","(104, 2015, 59.8, 310.7)","(104, 2015, 133.7, 302.2)","(4, 2014, 37.2, 331.1)","(58, 2015, 144.8, 248.0)","(58, -1, 94.2, 311.9)","(104, -1, 69.5, 314.8)","(104, -1, 128.2, 316.9)","(4, -1, 36.8, 310.8)","(58, -1, 159.3, 250.4)"
3,"(102, 2012, 93.3, 302.0)","(102, 2017, 76.3, 346.3)","(104, 2014, 108.9, 290.4)","(4, 2014, 118.1, 324.3)","(40, 2015, 78.1, 388.5)","(102, -1, 91.8, 283.2)","(102, -1, 75.1, 384.9)","(104, -1, 115.5, 297.4)","(4, -1, 117.1, 283.7)","(40, -1, 87.3, 388.3)"
4,"(104, 2016, 118.4, 204.4)","(25, 2017, 32.1, 313.1)","(19, 2015, 75.3, 296.2)","(0, 2017, 123.6, 392.3)","(19, 2014, 134.2, 264.3)","(104, -1, 130.7, 240.4)","(25, -1, 35.6, 317.9)","(19, -1, 67.3, 298.5)","(0, -1, 122.3, 424.5)","(19, -1, 134.3, 263.6)"
5,"(40, 2013, 126.3, 395.2)","(0, 2012, 96.5, 398.8)","(8, 2016, 123.6, 333.8)","(19, 2016, 77.8, 332.0)","(104, 2017, 74.3, 337.0)","(40, -1, 133.8, 353.3)","(0, -1, 96.4, 363.5)","(8, -1, 106.6, 335.5)","(19, -1, 65.2, 343.3)","(104, -1, 62.9, 323.8)"
6,"(4, 2017, 121.6, 379.3)","(19, 2016, 108.7, 378.6)","(19, 2014, 107.7, 341.2)","(19, 2016, 117.8, 380.8)","(102, 2016, 92.7, 344.7)","(4, -1, 123.4, 370.5)","(19, -1, 103.9, 354.7)","(19, -1, 105.3, 316.4)","(19, -1, 108.1, 414.6)","(102, -1, 99.8, 322.0)"
7,"(0, 2013, 107.0, 342.7)","(4, 2013, 162.0, 392.5)","(0, 2013, 130.3, 250.4)","(25, 2016, 94.8, 299.5)","(102, 2016, 86.2, 317.7)","(0, -1, 101.6, 365.6)","(4, -1, 144.6, 406.2)","(0, -1, 125.7, 242.6)","(25, -1, 77.4, 298.7)","(102, -1, 96.5, 310.4)"
8,"(19, 2015, 96.9, 378.0)","(8, 2017, 114.7, 307.1)","(102, 2014, 110.5, 396.2)","(8, 2015, 81.4, 362.7)","(0, 2014, 158.3, 324.7)","(19, -1, 89.1, 391.0)","(8, -1, 121.9, 327.6)","(102, -1, 129.3, 416.6)","(8, -1, 68.8, 429.2)","(0, -1, 161.9, 355.5)"
9,"(0, 2015, 149.3, 326.7)","(25, 2013, 122.8, 224.7)","(40, 2016, 85.8, 339.5)","(40, 2013, 110.8, 362.7)","(58, 2015, 87.4, 274.3)","(0, -1, 162.2, 332.1)","(25, -1, 125.7, 233.9)","(40, -1, 92.5, 402.4)","(40, -1, 104.4, 392.4)","(58, -1, 86.1, 263.4)"
10,"(104, 2017, 99.7, 324.5)","(25, 2017, 108.1, 295.1)","(4, 2014, 110.0, 353.6)","(25, 2012, 99.4, 203.0)","(104, 2012, 107.6, 210.2)","(104, -1, 102.9, 347.5)","(25, -1, 105.0, 307.0)","(4, -1, 119.5, 394.0)","(25, -1, 103.4, 204.2)","(104, -1, 100.7, 198.1)"
11,"(4, 2016, 69.3, 294.6)","(4, 2016, 42.0, 326.8)","(102, 2017, 128.9, 214.7)","(19, 2015, 82.4, 343.2)","(58, 2014, 82.5, 327.7)","(4, -1, 83.1, 316.0)","(4, -1, 35.1, 298.8)","(102, -1, 135.4, 217.3)","(19, -1, 83.7, 357.5)","(58, -1, 85.6, 328.3)"
12,"(102, 2014, 94.1, 306.0)","(8, 2013, 151.7, 304.1)","(0, 2015, 97.4, 337.2)","(19, 2013, 87.1, 305.7)","(40, 2015, 133.4, 333.6)","(102, -1, 98.1, 295.8)","(8, -1, 174.0, 304.1)","(0, -1, 96.3, 361.3)","(19, -1, 94.1, 258.8)","(40, -1, 123.7, 340.5)"
13,"(25, 2015, 122.0, 279.9)","(25, 2016, 126.3, 330.3)","(58, 2016, 43.2, 266.5)","(25, 2017, 88.2, 390.9)","(25, 2014, 98.5, 377.1)","(25, -1, 118.8, 274.1)","(25, -1, 131.2, 300.2)","(58, -1, 43.0, 251.3)","(25, -1, 66.5, 380.8)","(25, -1, 103.3, 371.5)"
14,"(19, 2014, 171.6, 289.0)","(25, 2016, 118.9, 374.5)","(25, 2012, 127.6, 346.0)","(104, 2014, 101.8, 376.0)","(25, 2013, 87.1, 376.0)","(19, -1, 188.4, 267.7)","(25, -1, 113.9, 376.8)","(25, -1, 131.1, 325.0)","(104, -1, 110.6, 393.4)","(25, -1, 85.7, 379.2)"
15,"(19, 2012, 133.5, 223.4)","(102, 2013, 49.0, 272.1)","(40, 2015, 63.0, 371.9)","(40, 2015, 132.8, 275.7)","(0, 2017, 86.2, 302.1)","(19, -1, 140.9, 233.8)","(102, -1, 42.8, 311.8)","(40, -1, 59.5, 369.1)","(40, -1, 119.2, 264.7)","(0, -1, 93.9, 299.9)"
16,"(4, 2017, 48.0, 398.1)","(40, 2015, 93.6, 392.9)","(19, 2014, 65.1, 290.7)","(0, 2014, 90.2, 303.3)","(40, 2017, 128.1, 235.2)","(4, -1, 46.5, 380.4)","(40, -1, 99.0, 434.4)","(19, -1, 72.0, 288.7)","(0, -1, 99.0, 285.3)","(40, -1, 110.2, 226.4)"
17,"(0, 2015, 95.7, 351.2)","(4, 2014, 104.2, 259.4)","(8, 2014, 115.5, 343.7)","(25, 2013, 100.8, 222.0)","(8, 2016, 117.6, 388.4)","(0, -1, 86.0, 359.9)","(4, -1, 100.6, 258.7)","(8, -1, 125.4, 367.0)","(25, -1, 103.2, 242.9)","(8, -1, 105.6, 340.0)"
18,"(0, 2015, 95.3, 218.7)","(19, 2017, 150.7, 395.4)","(8, 2012, 77.4, 291.3)","(0, 2016, 100.6, 343.9)","(102, 2017, 83.3, 261.6)","(0, -1, 97.8, 210.8)","(19, -1, 140.0, 377.2)","(8, -1, 83.7, 254.0)","(0, -1, 95.3, 340.3)","(102, -1, 80.6, 255.9)"
19,"(40, 2016, 100.1, 255.3)","(0, 2013, 110.0, 315.2)","(8, 2015, 97.6, 356.8)","(102, 2012, 101.3, 385.9)","(8, 2012, 69.7, 398.9)","(40, -1, 112.6, 252.7)","(0, -1, 131.7, 323.9)","(8, -1, 115.5, 369.6)","(102, -1, 75.9, 320.9)","(8, -1, 67.1, 385.2)"
20,"(8, 2017, 108.8, 300.3)","(19, 2013, 59.0, 292.5)","(19, 2016, 106.3, 350.4)","(8, 2013, 75.2, 355.4)","(19, 2012, 77.1, 243.2)","(8, -1, 109.1, 319.1)","(19, -1, 60.8, 273.2)","(19, -1, 84.5, 328.1)","(8, -1, 81.7, 349.6)","(19, -1, 85.0, 244.6)"
21,"(25, 2016, 43.8, 293.9)","(4, 2016, 119.9, 351.7)","(8, 2013, 114.2, 315.2)","(4, 2015, 117.5, 200.4)","(25, 2014, 102.0, 359.5)","(25, -1, 39.4, 291.3)","(4, -1, 135.3, 349.3)","(8, -1, 102.8, 321.9)","(4, -1, 96.5, 184.2)","(25, -1, 103.3, 368.1)"
22,"(58, 2016, 85.4, 373.1)","(104, 2017, 106.9, 270.3)","(8, 2016, 109.1, 347.9)","(19, 2014, 111.3, 283.3)","(0, 2012, 67.0, 320.4)","(58, -1, 80.2, 384.0)","(104, -1, 128.7, 249.1)","(8, -1, 102.6, 332.2)","(19, -1, 112.6, 322.2)","(0, -1, 64.3, 324.1)"
