Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,BM0,BM1,BM2,BM3,BM4,BM5
0,"(40, 2017, 123.8, 317.8)","(0, 2016, 89.7, 399.3)","(19, 2017, 131.4, 202.1)","(19, 2016, 124.5, 279.9)","(102, 2012, 164.1, 228.1)","(19, 2014, 112.1, 387.4)","(40, -1, 95.2, 312.9)","(0, -1, 95.0, 433.2)","(19, -1, 127.5, 233.4)","(19, -1, 145.8, 304.8)","(102, -1, 145.1, 224.3)","(19, -1, 88.2, 362.3)"
1,"(40, 2017, 59.2, 393.3)","(8, 2014, 50.4, 266.6)","(25, 2013, 118.0, 323.6)","(102, 2013, 108.3, 227.1)","(58, 2013, 90.3, 376.5)","(104, 2014, 140.4, 286.0)","(40, -1, 57.2, 371.9)","(8, -1, 56.8, 272.7)","(25, -1, 109.6, 325.2)","(102, -1, 127.4, 234.5)","(58, -1, 84.4, 368.8)","(104, -1, 163.5, 277.5)"
2,"(104, 2014, 55.9, 304.0)","(4, 2014, 92.5, 228.9)","(58, 2013, 93.0, 371.5)","(102, 2012, 87.7, 308.8)","(102, 2017, 102.7, 347.5)","(104, 2017, 115.3, 286.5)","(104, -1, 50.6, 323.2)","(4, -1, 84.8, 246.9)","(58, -1, 86.9, 357.7)","(102, -1, 85.0, 296.7)","(102, -1, 86.1, 415.6)","(104, -1, 102.9, 289.4)"
3,"(4, 2016, 111.2, 307.2)","(40, 2017, 120.3, 217.4)","(104, 2014, 98.7, 311.4)","(25, 2014, 74.2, 275.6)","(19, 2015, 114.6, 380.5)","(0, 2014, 121.1, 324.1)","(4, -1, 111.7, 308.6)","(40, -1, 107.1, 212.5)","(104, -1, 109.1, 292.0)","(25, -1, 84.6, 278.6)","(19, -1, 110.2, 397.3)","(0, -1, 124.6, 309.3)"
4,"(19, 2016, 90.4, 254.8)","(40, 2017, 66.1, 229.8)","(0, 2013, 115.8, 337.5)","(8, 2015, 107.9, 352.6)","(19, 2016, 100.2, 259.6)","(104, 2017, 121.4, 336.1)","(19, -1, 102.6, 261.0)","(40, -1, 69.4, 206.2)","(0, -1, 115.6, 336.0)","(8, -1, 120.4, 357.1)","(19, -1, 117.9, 269.3)","(104, -1, 112.0, 312.6)"
5,"(4, 2012, 145.0, 397.7)","(19, 2016, 75.1, 293.6)","(19, 2014, 180.3, 245.9)","(19, 2013, 95.8, 260.7)","(102, 2016, 144.4, 210.8)","(0, 2015, 91.6, 377.1)","(4, -1, 156.8, 393.2)","(19, -1, 70.5, 286.2)","(19, -1, 215.2, 210.0)","(19, -1, 88.8, 283.6)","(102, -1, 158.3, 206.5)","(0, -1, 96.1, 423.2)"
6,"(4, 2016, 94.3, 267.7)","(0, 2015, 98.0, 357.0)","(25, 2015, 56.8, 360.8)","(102, 2016, 111.1, 366.1)","(19, 2015, 82.4, 250.6)","(8, 2013, 113.3, 206.5)","(4, -1, 99.0, 265.0)","(0, -1, 96.2, 362.5)","(25, -1, 60.5, 341.1)","(102, -1, 104.3, 389.2)","(19, -1, 70.8, 247.7)","(8, -1, 110.4, 207.6)"
7,"(102, 2014, 111.5, 381.7)","(8, 2012, 115.2, 271.7)","(0, 2016, 72.1, 360.9)","(0, 2015, 89.5, 399.1)","(25, 2014, 89.8, 217.5)","(40, 2015, 122.9, 360.1)","(102, -1, 111.5, 409.5)","(8, -1, 110.8, 257.3)","(0, -1, 74.0, 351.3)","(0, -1, 87.1, 401.7)","(25, -1, 75.7, 210.5)","(40, -1, 127.0, 326.4)"
8,"(40, 2014, 100.5, 288.3)","(58, 2016, 75.9, 222.6)","(104, 2015, 99.9, 348.8)","(25, 2017, 72.3, 373.7)","(4, 2012, 130.0, 207.1)","(25, 2012, 77.1, 377.2)","(40, -1, 132.7, 299.1)","(58, -1, 80.6, 193.1)","(104, -1, 107.9, 337.8)","(25, -1, 73.2, 393.3)","(4, -1, 131.5, 214.5)","(25, -1, 77.0, 375.4)"
9,"(104, 2016, 91.9, 281.2)","(4, 2017, 83.6, 265.7)","(4, 2017, 126.0, 204.4)","(102, 2015, 78.8, 247.7)","(19, 2016, 99.5, 309.3)","(58, 2014, 126.2, 204.5)","(104, -1, 90.6, 302.8)","(4, -1, 84.1, 254.7)","(4, -1, 126.1, 199.2)","(102, -1, 84.7, 277.0)","(19, -1, 101.8, 292.9)","(58, -1, 133.7, 184.7)"
10,"(102, 2017, 134.6, 308.2)","(8, 2016, 107.2, 278.5)","(0, 2012, 108.9, 234.6)","(19, 2013, 112.5, 262.5)","(40, 2015, 93.9, 335.8)","(25, 2017, 96.6, 226.1)","(102, -1, 120.9, 315.7)","(8, -1, 108.8, 275.5)","(0, -1, 119.7, 250.9)","(19, -1, 111.2, 258.0)","(40, -1, 73.2, 354.7)","(25, -1, 93.1, 250.6)"
11,"(25, 2013, 113.1, 208.7)","(58, 2012, 68.4, 298.1)","(25, 2013, 112.0, 282.1)","(25, 2017, 175.1, 255.6)","(19, 2014, 96.2, 330.9)","(25, 2013, 81.9, 225.1)","(25, -1, 122.5, 218.9)","(58, -1, 73.6, 275.8)","(25, -1, 98.4, 268.0)","(25, -1, 179.8, 261.1)","(19, -1, 109.2, 321.8)","(25, -1, 97.8, 199.8)"
12,"(25, 2016, 101.0, 211.3)","(104, 2012, 97.0, 376.8)","(25, 2015, 120.5, 221.8)","(19, 2012, 74.8, 224.2)","(102, 2017, 83.3, 209.2)","(40, 2016, 101.2, 391.4)","(25, -1, 99.1, 215.0)","(104, -1, 91.4, 333.1)","(25, -1, 133.9, 199.1)","(19, -1, 70.5, 216.7)","(102, -1, 88.3, 234.3)","(40, -1, 118.9, 361.9)"
13,"(40, 2012, 104.4, 308.3)","(0, 2013, 105.2, 264.7)","(4, 2013, 52.0, 251.8)","(40, 2014, 124.4, 330.4)","(19, 2016, 147.3, 307.3)","(0, 2016, 110.7, 268.6)","(40, -1, 96.5, 325.3)","(0, -1, 108.8, 282.2)","(4, -1, 42.6, 267.7)","(40, -1, 130.3, 332.9)","(19, -1, 123.2, 302.1)","(0, -1, 116.4, 257.9)"
14,"(40, 2015, 66.8, 223.0)","(0, 2015, 96.3, 232.9)","(4, 2015, 66.1, 298.2)","(8, 2017, 90.8, 329.4)","(25, 2016, 104.8, 385.8)","(8, 2014, 134.6, 285.8)","(40, -1, 68.9, 228.3)","(0, -1, 92.7, 234.5)","(4, -1, 77.9, 289.2)","(8, -1, 106.9, 351.5)","(25, -1, 112.4, 350.5)","(8, -1, 127.2, 284.4)"
15,"(0, 2015, 73.4, 210.3)","(19, 2013, 93.2, 236.2)","(8, 2015, 169.0, 273.0)","(0, 2015, 115.0, 247.5)","(102, 2016, 132.8, 259.2)","(40, 2012, 124.4, 301.5)","(0, -1, 65.2, 218.1)","(19, -1, 82.0, 246.6)","(8, -1, 167.4, 234.7)","(0, -1, 109.3, 214.1)","(102, -1, 129.9, 265.3)","(40, -1, 91.6, 271.4)"
16,"(0, 2012, 97.0, 360.7)","(8, 2013, 88.9, 200.2)","(102, 2017, 72.6, 328.6)","(8, 2015, 89.3, 299.9)","(8, 2013, 93.1, 222.7)","(19, 2017, 97.3, 247.5)","(0, -1, 89.8, 347.5)","(8, -1, 84.4, 195.2)","(102, -1, 58.7, 323.8)","(8, -1, 85.0, 339.3)","(8, -1, 80.9, 226.7)","(19, -1, 91.2, 258.0)"
17,"(19, 2013, 127.2, 340.4)","(8, 2015, 25.5, 378.9)","(19, 2013, 71.1, 380.4)","(25, 2013, 99.1, 271.3)","(4, 2014, 106.6, 319.6)","(8, 2013, 89.9, 280.6)","(19, -1, 116.2, 339.7)","(8, -1, 21.6, 429.6)","(19, -1, 79.7, 375.5)","(25, -1, 112.5, 243.7)","(4, -1, 95.6, 344.0)","(8, -1, 92.2, 261.3)"
18,"(4, 2012, 79.0, 286.3)","(25, 2017, 125.8, 235.2)","(58, 2017, 110.1, 309.5)","(104, 2014, 104.1, 251.7)","(8, 2016, 87.5, 344.1)","(19, 2015, 120.7, 394.1)","(4, -1, 69.6, 271.8)","(25, -1, 109.7, 230.5)","(58, -1, 108.6, 294.6)","(104, -1, 104.2, 233.0)","(8, -1, 77.4, 378.5)","(19, -1, 122.8, 372.5)"
19,"(0, 2016, 21.8, 256.2)","(0, 2015, 106.9, 305.6)","(58, 2014, 120.3, 343.4)","(0, 2016, 119.0, 344.4)","(58, 2012, 82.0, 330.6)","(19, 2013, 65.5, 253.0)","(0, -1, 20.0, 269.5)","(0, -1, 105.7, 298.5)","(58, -1, 114.8, 345.8)","(0, -1, 105.1, 358.3)","(58, -1, 100.6, 330.9)","(19, -1, 68.4, 234.6)"
20,"(19, 2015, 87.3, 311.2)","(104, 2016, 102.1, 342.9)","(104, 2015, 77.9, 299.9)","(104, 2017, 115.3, 381.6)","(8, 2013, 95.9, 350.0)","(19, 2014, 106.7, 386.2)","(19, -1, 94.9, 323.8)","(104, -1, 95.6, 345.5)","(104, -1, 85.8, 345.6)","(104, -1, 121.5, 416.1)","(8, -1, 108.3, 371.6)","(19, -1, 103.1, 341.1)"
21,"(8, 2014, 64.7, 313.2)","(0, 2012, 88.9, 214.9)","(104, 2012, 68.4, 377.2)","(104, 2014, 137.6, 372.9)","(19, 2015, 115.3, 241.4)","(104, 2017, 88.4, 245.6)","(8, -1, 69.5, 317.6)","(0, -1, 89.5, 240.9)","(104, -1, 72.0, 375.6)","(104, -1, 159.3, 360.9)","(19, -1, 106.2, 283.3)","(104, -1, 66.9, 270.4)"
