Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9
0,"(40, 2012)","(0, 2012)","(19, 2016)","(19, 2014)","(102, 2013)","(19, 2012)","(40, 2013)","(8, 2017)","(25, 2013)","(102, 2017)"
1,"(104, 2013)","(25, 2015)","(19, 2017)","(0, 2015)","(19, 2015)","(40, 2012)","(0, 2013)","(8, 2013)","(19, 2013)","(104, 2012)"
2,"(25, 2017)","(102, 2012)","(19, 2016)","(8, 2013)","(102, 2016)","(8, 2013)","(0, 2014)","(0, 2014)","(25, 2012)","(40, 2013)"
3,"(4, 2015)","(102, 2016)","(19, 2016)","(58, 2016)","(102, 2015)","(8, 2016)","(0, 2016)","(19, 2016)","(40, 2012)","(25, 2016)"
4,"(19, 2012)","(102, 2013)","(40, 2014)","(40, 2016)","(0, 2014)","(4, 2012)","(40, 2017)","(19, 2015)","(0, 2014)","(40, 2014)"
5,"(0, 2014)","(102, 2015)","(40, 2016)","(0, 2013)","(8, 2014)","(102, 2015)","(8, 2013)","(8, 2014)","(19, 2013)","(19, 2016)"
6,"(58, 2014)","(104, 2015)","(8, 2012)","(19, 2016)","(0, 2012)","(0, 2017)","(58, 2012)","(0, 2017)","(58, 2014)","(19, 2015)"
7,"(8, 2016)","(0, 2017)","(104, 2012)","(104, 2016)","(19, 2015)","(104, 2017)","(8, 2015)","(104, 2016)","(25, 2017)","(19, 2013)"
8,"(104, 2012)","(0, 2016)","(104, 2015)","(40, 2015)","(0, 2013)","(58, 2017)","(40, 2017)","(19, 2012)","(4, 2012)","(104, 2013)"
9,"(8, 2015)","(104, 2014)","(58, 2016)","(58, 2015)","(4, 2017)","(58, 2017)","(104, 2015)","(104, 2012)","(19, 2015)","(8, 2012)"
10,"(25, 2017)","(58, 2017)","(40, 2015)","(104, 2015)","(8, 2013)","(19, 2013)","(102, 2013)","(40, 2015)","(19, 2014)","(25, 2014)"
11,"(19, 2012)","(102, 2016)","(102, 2012)","(40, 2015)","(4, 2014)","(8, 2017)","(8, 2017)","(104, 2012)","(4, 2012)","(40, 2017)"
12,"(4, 2016)","(4, 2015)","(0, 2014)","(19, 2017)","(104, 2013)","(104, 2013)","(25, 2014)","(25, 2013)","(0, 2017)","(19, 2016)"
